1 type
1.00019 -58.9233 4
1.00036 -58.8986 4
1.00063 -58.9599 4
1.00113 -58.9616 4
2 -58.9554 4
2.0005 -58.9524 4
3 -58.9549 4
3.0005 -58.9236 4
4 -58.9448 4
4.0005 -58.9289 4
5 -58.9478 4
5.0005 -58.9545 3.99373
6 -68.0389 11.4143
6.0005 -68.0369 11.4216
7 -75.1897 25.9283
7.0005 -75.1305 25.9357
8 -79.042 40.5213
8.0005 -79.0517 40.5287
9 -81.7202 55.1306
9.0005 -81.6791 55.1379
10 -83.7764 69.7459
10.0005 -83.7575 69.7533
11 -85.4258 84.3641
11.0005 -85.4189 84.3715
12 -86.8355 98.984
12.0005 -86.7887 98.9913
13 -87.9866 113.605
13.0005 -88.0101 113.612
14 -89.0926 128.226
14.0005 -89.0509 128.234
15 -89.9756 142.848
15.0005 -90.0613 142.856
16 -90.8082 157.471
16.0005 -90.8394 157.478
17 -91.6213 172.093
17.0011 -91.6027 172.109
17.0019 -91.6315 172.121
17.0036 -91.5923 172.145
17.0041 -91.6232 172.153
18 -92.3097 186.716
18.0005 -92.3717 186.723
19 -92.9801 201.339
19.0008 -92.9366 201.35
19.0019 -92.9927 201.366
19.0032 -92.973 201.385
19.0054 -92.9865 201.418
19.0082 -92.9701 201.458
19.013 -92.9742 201.529
20 -93.5837 215.962
20.001 -93.5969 215.976
20.0025 -93.5956 215.997
20.0033 -93.571 216.01
20.0042 -93.5636 216.022
20.0052 -93.5708 216.037
20.0068 -93.6154 216.062
21 -94.1448 230.585
21.0007 -94.155 230.594
21.0014 -94.1439 230.606
21.0033 -94.1378 230.633
21.006 -94.1597 230.672
21.0099 -94.1463 230.73
21.0164 -94.1355 230.824
22 -94.6835 245.208
22.0009 -94.6933 245.221
22.0022 -94.7021 245.24
22.0042 -94.6722 245.269
22.0077 -94.7116 245.32
22.0112 -94.6994 245.372
22.013 -94.6965 245.398
23 -95.162 259.831
23.0008 -95.1685 259.843
23.002 -95.2078 259.86
23.004 -95.2094 259.889
23.0058 -95.1734 259.916
23.01 -95.2008 259.978
23.0142 -95.2154 260.038
24 -95.6696 274.454
24.0007 -95.6544 274.465
24.0016 -95.6725 274.478
24.0023 -95.6506 274.488
24.0041 -95.681 274.514
24.0054 -95.6905 274.534
24.0095 -95.6541 274.593
25 -96.0918 289.078
25.0011 -96.115 289.093
25.0021 -96.1194 289.108
25.0041 -96.1311 289.138
25.0071 -96.1048 289.182
25.0141 -96.151 289.284
25.0157 -96.1126 289.307
26 -96.5296 303.701
26.001 -96.5376 303.716
26.0019 -96.5631 303.728
26.0032 -96.592 303.747
26.0051 -96.5246 303.775
26.0124 -96.5205 303.882
26.0195 -96.5666 303.986
27 -96.9606 318.324
27.0007 -96.9606 318.335
27.0017 -96.9277 318.349
27.004 -96.9569 318.383
27.0052 -96.9711 318.4
